#{"t_start": 1683580612.7314544, "env_id": "RobotEnv8-v0"}
r,l,t
-138.82385,500,60.103192
-82.92225,500,101.028936
-311.104293,500,142.082177
-206.677511,500,183.380038
-467.615953,500,241.101822
-365.839583,500,282.234141
-274.527173,500,323.220791
-242.451355,500,364.063377
-153.504671,500,418.850943
-422.901922,500,459.666549
-276.443794,500,500.776148
-143.064532,500,541.408434
-364.489415,500,595.933324
-158.99585,500,636.42847
-332.029969,500,677.529454
-134.391191,500,718.111978
-212.870078,500,772.619998
-273.443211,500,813.514407
-147.244918,500,854.638735
-223.262247,500,895.19526
-105.846653,500,953.215468
-86.855744,500,996.539357
-98.403822,500,1037.085584
-110.693815,500,1077.671981
-77.356424,500,1131.95344
-311.554735,500,1172.341092
-325.316365,500,1213.244743
-176.354434,500,1253.570842
-238.934858,500,1307.772799
-118.557107,500,1348.325461
-76.461685,500,1389.072095
-156.470058,500,1429.085834
-87.832862,500,1483.229304
-120.321401,500,1523.446791
-145.714028,500,1564.355303
-181.000391,500,1604.232491
-94.915194,500,1658.505266
-131.258096,500,1698.520401
-186.892787,500,1739.288461
-114.965448,500,1779.290358
-133.358366,500,1833.409129
-105.035964,500,1873.51096
-159.716696,500,1914.493386
-160.376858,500,1954.489252
-101.694291,500,1994.993205
-136.950794,500,2048.236012
-99.286854,500,2088.7362
-90.339677,500,2128.648726
-124.514851,500,2168.652787
-103.699915,500,2221.870174
-204.787555,500,2262.37168
-213.632219,500,2302.512017
-96.958513,500,2342.355638
-93.439658,500,2395.592864
-97.922383,500,2436.179161
-163.984856,500,2476.565123
-118.648349,500,2517.010225
-155.734164,500,2570.704575
-107.40485,500,2611.565022
-78.506261,500,2651.402755
-99.053726,500,2691.444592
-83.63962,500,2745.388725
-92.737621,500,2785.919465
-73.774339,500,2825.873865
-75.653593,500,2866.000932
-99.474333,500,2919.114094
-78.865341,500,2959.614938
-79.250682,500,2999.584784
-80.504641,500,3040.013709
-100.054462,500,3093.299955
-173.585424,500,3134.275867
-78.214679,500,3174.266849
-60.31471,500,3214.675776
-67.554455,500,3267.891099
-132.591729,500,3308.487406
-64.960176,500,3348.337478
-74.729037,500,3388.845228
-84.284926,500,3442.106802
-115.414131,500,3482.642496
-64.737764,500,3522.722194
-72.589744,500,3563.254243
-80.213986,500,3616.255626
-88.807555,500,3656.340926
-75.583448,500,3696.226673
-96.58565,500,3736.235858
-68.895064,500,3776.289945
-209.154788,500,3829.982398
-89.161669,500,3869.848066
-93.202242,500,3909.823161
-98.530112,500,3949.714556
-72.260666,500,4003.063209
-110.686153,500,4043.087242
-195.99475,500,4082.97272
-61.224195,500,4122.949405
-106.109997,500,4176.710949
-77.4047,500,4216.986874
-103.775765,500,4257.602681
-99.951149,500,4297.619381
-103.873861,500,4351.238308
-78.806446,500,4391.326433
-91.747931,500,4431.514128
-106.001474,500,4472.348382
-148.664229,500,4526.376147
-79.117852,500,4566.471991
-66.498214,500,4606.532776
-62.803209,500,4646.441832
-97.411984,500,4699.810926
-119.683301,500,4739.799039
-77.228842,500,4779.74941
-126.072769,500,4819.660167
-67.823211,500,4872.887126
-109.844419,500,4913.017876
-76.306189,500,4953.45383
-145.542546,500,4993.392981
-105.344302,500,5046.720505
-104.769069,500,5086.750236
-67.682826,500,5126.886458
-78.460948,500,5166.92645
-90.429319,500,5220.34581
-89.364615,500,5260.727927
-88.075698,500,5300.781773
-131.753402,500,5340.87552
-65.904881,500,5398.456953
-73.399717,500,5442.319459
-92.96453,500,5483.018508
-92.997128,500,5523.050667
-106.565475,500,5576.407584
-63.017249,500,5616.400795
-48.73333,500,5656.740157
-84.443091,500,5696.637086
-67.094037,500,5736.634526
-64.244289,500,5789.501468
-89.069292,500,5829.569207
-70.87671,500,5869.575264
-394.386612,500,5909.733459
-123.082332,500,5963.949549
-64.576615,500,6004.051249
-54.820442,500,6043.995565
-109.841562,500,6084.162003
-57.259152,500,6137.229071
-61.280801,500,6177.321174
-67.013269,500,6220.640788
-85.084197,500,6265.404337
-56.49317,500,6322.620292
-67.614503,500,6367.264549
